"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Running_Time","Descripcion_Error"
"root.corp","ROOTDC1603","172.30.10.208","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","26/02/2026","Ninguna/No detectada","25/02/2026 21:03","2574:58:57","N/A"
"petersen.corp","SRVDC02","172.30.10.185","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","23/02/2026","Ninguna/No detectada","23/02/2026 18:38","2624:25:11","N/A"
"N/A","BERABSTFS01T","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BERABSTFS01T\C$"
"petersen.corp","BERAPPRAT01T","172.30.233.30","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","11/03/2026","Ninguna/No detectada","19/04/2026 00:38","1322:24:39","N/A"
"petersen.corp","BERGCONTAWEB01T","172.30.87.187","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","30/11/2020","Ninguna/No detectada","16/04/2026 02:56","1392:07:26","N/A"
"petersen.corp","BERINSTBFF01T","172.30.87.95","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5087066, KB5094123, KB5094143","12/06/2026 23:57","03:06:05","N/A"
"petersen.corp","BERMCISIS01T","172.30.211.171","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/06/2026","KB5094128, KB5094147","13/06/2026 00:00","03:03:21","N/A"
"petersen.corp","BEROCEMS01T","172.30.87.71","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5094123, KB5094143","12/06/2026 23:54","03:09:25","N/A"
"petersen.corp","BERONBOARDMS01T","10.50.87.140","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","11/10/2023","Ninguna/No detectada","19/04/2026 00:38","1322:26:01","N/A"
"N/A","BERSONPRTG02T","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BERSONPRTG02T\C$"
"petersen.corp","BERVUFADB01T","172.30.87.189, 172.30.87.185","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5094123, KB5094143","12/06/2026 23:54","03:09:48","N/A"
"petersen.corp","BSCCBANKIIS01T","10.50.97.161","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/06/2026","KB5087068, KB5094128, KB5094147","12/06/2026 23:48","03:15:39","N/A"
"N/A","BSCDEBMEDIAPP01T","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BSCDEBMEDIAPP01T\C$"
"petersen.corp","BSCINSTBFF01T","172.30.97.95","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5094123, KB5094143","12/06/2026 23:57","03:06:43","N/A"
"petersen.corp","BSCOMNIRATL01T","172.30.97.88","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 20:00","79:04:03","N/A"
"petersen.corp","BSCOMNISQL02T","172.30.97.91","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","10/06/2026 17:30","58:34:37","N/A"
"petersen.corp","BSCPWRCRVDAS01T","172.30.97.68","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:28","82:36:10","N/A"
"petersen.corp","BSCVUFADB01T","172.30.97.185","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:19","82:45:43","N/A"
"petersen.corp","BSFCBANKIIS01T","10.50.82.161","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/06/2026","KB5094128, KB5094147","13/06/2026 00:24","03:40:24","N/A"
"petersen.corp","BSFENROLLWEB01T","10.50.82.97","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 20:49","78:16:02","N/A"
"petersen.corp","BSFGCONTAWEB01T","172.30.82.187","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","30/11/2020","Ninguna/No detectada","26/03/2026 22:23","1877:42:14","N/A"
"petersen.corp","BSFINSTWEB02T","10.50.82.98","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:34","82:31:11","N/A"
"petersen.corp","BSFOMNIFS01T","172.30.82.85","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5094123, KB5094143","12/06/2026 23:55","03:10:25","N/A"
"petersen.corp","BSFONBOARDMS01T","10.50.82.140","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","15/04/2026","Ninguna/No detectada","15/04/2026 01:47","1417:19:16","N/A"
"petersen.corp","BSFPWRCRVDA02T","172.30.82.67","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","10/06/2026 17:21","58:44:52","N/A"
"petersen.corp","BSFVUFADB02T","172.30.82.186","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5094123, KB5094143","12/06/2026 23:57","03:08:50","N/A"
"petersen.corp","BSJCBANKIIS01T","10.50.92.161","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/06/2026","KB5094128, KB5094147","12/06/2026 23:47","03:19:03","N/A"
"petersen.corp","BSJDEBMEDIADB01T","172.30.211.35","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","17/04/2026","Ninguna/No detectada","16/01/2026 02:02","3553:04:36","N/A"
"petersen.corp","BSJGCONTASQL01T","172.30.92.184","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5094123, KB5094143","12/06/2026 23:47","03:19:24","N/A"
"N/A","BSJOCEIS01T_03_12_restored","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BSJOCEIS01T_03_12_restored\C$"
"petersen.corp","BSJOMNISQL01T","172.30.92.90","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","13/06/2026","KB5094141, KB5094122","13/06/2026 00:13","03:54:05","N/A"
"petersen.corp","BSJOMNISQL02T","172.30.92.91","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","11/06/2026 14:12","37:54:46","N/A"
"petersen.corp","BSJONBOARDDB01T","172.30.92.183","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","16/04/2026","Ninguna/No detectada","16/04/2026 02:35","1393:31:45","N/A"
"petersen.corp","BSJSBALSQL01T","172.30.92.74","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5094123, KB5094143","13/06/2026 00:00","03:07:30","N/A"
"petersen.corp","CLOUDERAIS01T","172.30.211.77","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/12/2025","Ninguna/No detectada","19/04/2026 00:38","1322:28:49","N/A"
"petersen.corp","GPSECMODO01T","172.30.82.203","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5087061, KB5094123, KB5094143","12/06/2026 23:53","03:14:16","N/A"
"petersen.corp","PWCCI-DAS-01T","172.30.211.175","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","09/05/2026","Ninguna/No detectada","09/05/2026 00:45","842:22:47","N/A"
"petersen.corp","SRVDBFCI01T","172.30.211.14","Microsoft Windows Server 2022 Standard","10.0.20348.1 (WinBuild.160101.0800)","07/10/2022","Ninguna/No detectada","18/12/2025 11:54","4239:13:43","N/A"
"petersen.corp","SRVDEPIIS01T","172.30.211.135","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5087061, KB5094123, KB5094143","12/06/2026 23:56","03:11:54","N/A"
"petersen.corp","SRVENGAGEWA01T","172.30.16.51","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:22","82:45:43","N/A"
"petersen.corp","SRVENGWABSF01T","172.30.211.66","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","14/01/2026","Ninguna/No detectada","19/04/2026 00:38","1322:29:30","N/A"
"petersen.corp","SRVINTEG01T","172.30.82.81","Microsoft Windows Server 2022 Standard","10.0.20348.1 (WinBuild.160101.0800)","07/10/2022","Ninguna/No detectada","09/12/2025 12:01","4456:07:24","N/A"
"petersen.corp","SRVMIGEKM01T","172.30.211.102","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5087061, KB5094123, KB5094143","12/06/2026 23:49","03:19:08","N/A"
"petersen.corp","SRVOMNIBOPI01T","172.30.211.56","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/06/2026","KB5087061, KB5094123, KB5094143","12/06/2026 23:50","03:17:46","N/A"
"petersen.corp","SRVPWCESQLCIT","172.30.211.223","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","14/12/2025","Ninguna/No detectada","19/04/2026 00:38","1322:29:55","N/A"
"petersen.corp","SRVPWCSQLCI2T","172.30.211.174","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/06/2026","KB5094128, KB5094147","13/06/2026 00:36","03:32:41","N/A"
"petersen.corp","SRVPWCSYSCET","172.30.211.217","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","09/05/2026","Ninguna/No detectada","09/05/2026 00:28","843:40:33","N/A"
"petersen.corp","SRVSQLTYS02T","172.30.16.193","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","13/06/2026","KB5094141, KB5094122","13/06/2026 01:11","02:57:45","N/A"
"petersen.corp","SRVTSACADGDD01T","172.30.212.148","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","14/12/2025","Ninguna/No detectada","19/04/2026 00:38","1323:30:33","N/A"
